title,quality_score,quality_category
MONA - Kiss Like A Woman (Official Video),0.9846610588817417,A
Dunk of the Year Candidate: Giannis Antetokounmpo Literally HURDLES For the Slam,0.9846214511041009,A
Pancakes Recipe | Quick and Easy Pancakes by Grandpa for Orphan Kids,0.9845472105442563,A
Cast of Avengers: Infinity War Reveals Least Trustworthy Avenger,0.9845145382926903,A
Guest Host Chris Pratt Interviews Margot Robbie,0.9844736455733373,A
"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",0.9843570922834775,A
HORMONES | The Weekly #4 | LIFESTYLE,0.9842972411460598,A
Dunkey's Best of 2017,0.9840006683793888,A
George Ezra - Saviour (Lyric Video) ft. First Aid Kit,0.9838107098381071,A
Ty Burrell Fears Sudden Death While Eating Spicy Wings | Hot Ones,0.9836113078755876,A
Buying Used Things 2,0.9833965161476078,A
Noah Cyrus - Again (Alan Walker Remix),0.9831965692136406,A
The Mystical Villa Montezuma Mansion,0.9831168599146017,A
The Greatest Showman | From Now On with Hugh Jackman | 20th Century FOX,0.9831156419241797,A
Thank you.,0.9830845522773035,A
FULL GLAM IN 10 MINUTES MAKEUP CHALLENGE W. KRISTEN LEANNE,0.9827795679044953,A
Essential Phone Teardown - Complicated and Pointless,0.9827297238213218,A
Making A Giant Macaron: Behind Tasty,0.982599281791297,A
SELF FLYING ROBOT DRONE OF THE FUTURE; The Skydio R1,0.9825560767926834,A
Maroon 5 Busks in NYC Subway in Disguise,0.9824403826290026,A
Portia de Rossi on Why She Quit Acting,0.9823825898535022,A
Apartment Atrocities,0.9823055844679992,A
ABANDONED MALL TURNED INTO WINTER WONDERLAND,0.9822719684737692,A
Eminem - Love The Way You Lie ft Skylar Grey on Radio 1,0.9820505019774871,A
Testing Robustness,0.982011447260834,A
[OFFICIAL VIDEO] New Rules x Are You That Somebody? - Pentatonix,0.981642059214124,A
LeBron James Comes Up CLUTCH in the Mile High City!,0.9815828770532603,A
We Tried To Re-Create This Cheese-Covered Burger,0.9812658227848101,A
*SPOILER* 5th Eliminated Queen RuPaul's All Stars 3: Behind the Scenes,0.9811652878014434,A
R3HAB x Lia Marie Johnson - The Wave (Official Video),0.9809051094890511,A
Chloe Kim Photobombs Fans and Finds Out She Made the Cover of Kellogg's Corn Flakes,0.9807579030041234,A
GETTING BULLIED: ADVICE,0.9807009617246498,A
Buying Used Things,0.9806217516674408,A
Eagles vs. Patriots Mic'd Up You Want Philly Philly? | Super Bowl LII | NFL Sound FX,0.9805652759084791,A
Harry Styles - Kiwi,0.9804856874082565,A
Launching An Entire Fireworks Display At Once,0.9803393213572854,A
How to pick up a cat like a pro - Vet advice on cat handling.,0.9800309723693863,A
Iceland's Blue Lagoon Beauty Routine,0.9798556320295451,A
